# Netscape HTTP Cookie File
# http://curl.haxx.se/rfc/cookie_spec.html
# This is a generated file!  Do not edit.

widgets.outbrain.com	FALSE	/nanoWidget/externals/cookie	TRUE	1728741477	thirdparty	yes
.doubleclick.net	TRUE	/ads/preferences	TRUE	1728739744	pm_sess_2719072312	ACi0TChjps19ma9lgxGuSVyJnQbOWR-6HbtI32HqBOCeIRf8q_esJR21yPTQhREwqwexvwFj3syw
.doubleclick.net	TRUE	/ads/preferences	TRUE	1728739745	pm_sess_2390808525	ACi0TChnJm4bNQJ9pJ_SiGVV_7-3rc1ly2Gf6DO-dQpEKwAdPxXAQIB_9NMEXqqofwMSiyiJvLFs
.doubleclick.net	TRUE	/ads/preferences	TRUE	1728739761	pm_sess	ACi0TCgo4X8XH_r0k0SzZxM9i69LRexH9CvCkCa2E8Qgr1vCX5F75glN9dLqJ5XnynQcrPenT0Tt
.serving-sys.com	TRUE	/online-choices	TRUE	1763298004	ebOptOut	true
.zemanta.com	TRUE	/optout/yoc	TRUE	0	token	f1411f2156b52496
adssettings.google.com	FALSE	/ext/nai/	TRUE	0	aboutads_sess787977356	ACi0TChjps19ma9lgxGuSVyJnQbOWR-6HbtI32HqBOCeIRf8q_esJR21yPTQhREwqwexvwFj3syw
adssettings.google.ca	FALSE	/ext/nai/	TRUE	0	aboutads_sess787977356	ACi0TChjps19ma9lgxGuSVyJnQbOWR-6HbtI32HqBOCeIRf8q_esJR21yPTQhREwqwexvwFj3syw
adssettings.google.com	FALSE	/ext/nai/	TRUE	0	aboutads_sess198005197	ACi0TChnJm4bNQJ9pJ_SiGVV_7-3rc1ly2Gf6DO-dQpEKwAdPxXAQIB_9NMEXqqofwMSiyiJvLFs
adssettings.google.ca	FALSE	/ext/nai/	TRUE	0	aboutads_sess198005197	ACi0TChnJm4bNQJ9pJ_SiGVV_7-3rc1ly2Gf6DO-dQpEKwAdPxXAQIB_9NMEXqqofwMSiyiJvLFs
adssettings.google.com	FALSE	/ext/iab/	TRUE	0	aboutads_sess1082247560	ACi0TCgo4X8XH_r0k0SzZxM9i69LRexH9CvCkCa2E8Qgr1vCX5F75glN9dLqJ5XnynQcrPenT0Tt
adssettings.google.com	FALSE	/ext/iab/	TRUE	0	aboutads_sess-1411021033	ACi0TCgo4X8XH_r0k0SzZxM9i69LRexH9CvCkCa2E8Qgr1vCX5F75glN9dLqJ5XnynQcrPenT0Tt
adssettings.google.ca	FALSE	/ext/iab/	TRUE	0	aboutads_sess1082247560	ACi0TCgo4X8XH_r0k0SzZxM9i69LRexH9CvCkCa2E8Qgr1vCX5F75glN9dLqJ5XnynQcrPenT0Tt
adssettings.google.ca	FALSE	/ext/iab/	TRUE	0	aboutads_sess-1411021033	ACi0TCgo4X8XH_r0k0SzZxM9i69LRexH9CvCkCa2E8Qgr1vCX5F75glN9dLqJ5XnynQcrPenT0Tt
adssettings.google.com	FALSE	/ext/nai/	TRUE	0	aboutads_sess2051993345	ACi0TChjps19ma9lgxGuSVyJnQbOWR-6HbtI32HqBOCeIRf8q_esJR21yPTQhREwqwexvwFj3syw
adssettings.google.com	FALSE	/ext/nai/	TRUE	0	aboutads_sess-2097958139	ACi0TChnJm4bNQJ9pJ_SiGVV_7-3rc1ly2Gf6DO-dQpEKwAdPxXAQIB_9NMEXqqofwMSiyiJvLFs
adssettings.google.ca	FALSE	/ext/nai/	TRUE	0	aboutads_sess2051993345	ACi0TChjps19ma9lgxGuSVyJnQbOWR-6HbtI32HqBOCeIRf8q_esJR21yPTQhREwqwexvwFj3syw
adssettings.google.ca	FALSE	/ext/nai/	TRUE	0	aboutads_sess-2097958139	ACi0TChnJm4bNQJ9pJ_SiGVV_7-3rc1ly2Gf6DO-dQpEKwAdPxXAQIB_9NMEXqqofwMSiyiJvLFs
adssettings.google.com	FALSE	/ext/iab/	TRUE	0	aboutads_sess-1431842747	ACi0TCgo4X8XH_r0k0SzZxM9i69LRexH9CvCkCa2E8Qgr1vCX5F75glN9dLqJ5XnynQcrPenT0Tt
