# Netscape HTTP Cookie File
# http://curl.haxx.se/rfc/cookie_spec.html
# This is a generated file!  Do not edit.

widgets.outbrain.com	FALSE	/nanoWidget/externals/cookie	TRUE	1728816434	thirdparty	yes
.doubleclick.net	TRUE	/ads/preferences	TRUE	1728814751	pm_sess	ACi0TChl6wOWCEEl4iFL0Bo8Q7hoL6zUcYpIxZ7nw6Ep6x4QGMjFtXjH3MQiIQgKu0C4hya8KfEw
.google.com	TRUE	/ads/preferences	TRUE	1728814759	pm_sess	ACi0TCgx1T5Xh0t3caKDcRU5Fb4IUxFURv1miXP51zMQxk92svk34ttouWMRto19N7FE5wfc0XVG
.doubleclick.net	TRUE	/ads/preferences	TRUE	1728814878	pm_sess_2500685038	ACi0TCite_begGFw5h7ZfZhVoCYjMkHysXFEgkvvwMQkta8B7cTPgv2bfT5WoBZcvVV1Y8Xwzqkk
.doubleclick.net	TRUE	/ads/preferences	TRUE	1728814880	pm_sess_3267287791	ACi0TCiPmA0Qb_wKWn5iChFXrrXitE-2-_bA3tpAl4FKcLGvnxUmcudOyFahBdXb45OWInem_iPZ
sc-static.net	FALSE	/scevent.min.js	TRUE	1728899231	X-AB	cc8f398e6c2d4b84b15908c5e6ccf9a3
www.google.com	FALSE	/recaptcha	TRUE	1744364875	_GRECAPTCHA	09AGteOyrzuJhWVVquUyfzP-5VpaQeh19nr_9Q2_Tk-XjuOaKMr1Uhj4CqfJlDA8RXPAcirB5Qc-uRBqznkFsycnw
.google.com	TRUE	/anonymous	TRUE	1728814759	pm_sess	ACi0TCgx1T5Xh0t3caKDcRU5Fb4IUxFURv1miXP51zMQxk92svk34ttouWMRto19N7FE5wfc0XVG
.pinterest.com	TRUE	/adchoices	TRUE	1763373118	daa	1
adssettings.google.com	FALSE	/ext/nai/	TRUE	0	aboutads_sess-601454968	ACi0TCite_begGFw5h7ZfZhVoCYjMkHysXFEgkvvwMQkta8B7cTPgv2bfT5WoBZcvVV1Y8Xwzqkk
adssettings.google.ca	FALSE	/ext/nai/	TRUE	0	aboutads_sess-601454968	ACi0TCite_begGFw5h7ZfZhVoCYjMkHysXFEgkvvwMQkta8B7cTPgv2bfT5WoBZcvVV1Y8Xwzqkk
adssettings.google.com	FALSE	/ext/nai/	TRUE	0	aboutads_sess235733292	ACi0TCiPmA0Qb_wKWn5iChFXrrXitE-2-_bA3tpAl4FKcLGvnxUmcudOyFahBdXb45OWInem_iPZ
adssettings.google.ca	FALSE	/ext/nai/	TRUE	0	aboutads_sess235733292	ACi0TCiPmA0Qb_wKWn5iChFXrrXitE-2-_bA3tpAl4FKcLGvnxUmcudOyFahBdXb45OWInem_iPZ
adssettings.google.com	FALSE	/ext/nai/	TRUE	0	aboutads_sess69471863	ACi0TCiPmA0Qb_wKWn5iChFXrrXitE-2-_bA3tpAl4FKcLGvnxUmcudOyFahBdXb45OWInem_iPZ
adssettings.google.ca	FALSE	/ext/nai/	TRUE	0	aboutads_sess69471863	ACi0TCiPmA0Qb_wKWn5iChFXrrXitE-2-_bA3tpAl4FKcLGvnxUmcudOyFahBdXb45OWInem_iPZ
.ccgateway.net	TRUE	/privacy	TRUE	1760349115	ccoptout	1
optout.crwdcntrl.net	FALSE	/optout	TRUE	0	naiToken	1856605534
